ticker,company_name,industry_code,industry_name,chain_kg_score,product_signal_weight,matched_product_keywords,top_chain_products
600989.SH,宝丰能源,220205,煤化工,1.982731,0.982731,丙烯;乙烯;焦化;甲醇;聚丙烯;聚乙烯,焦化(0.318); 聚乙烯(0.315); 聚丙烯(0.274); 精细化工(0.114); 烯烃副(0.084); 纯苯(0.079); 甲醇(0.076); 改质沥青(0.054)
000545.SZ,金浦钛业,220206,钛白粉,1.978248,0.978248,钛白粉,制剂成品药(0.757); 金红石型钛白粉(0.522); 锐钛型钛白粉(0.457); 化工原料药(0.243); 商业保理(0.020)
000936.SZ,华西股份,220401,涤纶,1.959584,0.959584,涤纶,涤纶短纤维(0.960); 投资管理(0.005); 资产管理费(0.004)
600319.SH,*ST亚星,220202,氯碱,1.862125,0.862125,乙烯;烧碱;聚乙烯,氯化聚乙烯(0.772); ADC发泡剂(0.093); %烧碱(0.089); 水合肼(0.067); 灰渣制品(0.001); 许可证范围内烧碱(0.001); 供电售电(0.001); 废硫酸(0.001)
000422.SZ,湖北宜化,220202,氯碱,1.847334,0.847334,乙烯;尿素;烧碱;磷酸二铵;聚氯乙烯,化肥(0.478); 聚氯乙烯(0.318); 尿素(0.291); 化学肥料(0.287); 磷酸二铵(0.177); 精细化工(0.080); 氯碱(0.062); 烧碱(0.061)
000822.SZ,山东海化,220201,纯碱,1.803558,0.803558,乙烯;烧碱;纯碱;聚氯乙烯,纯碱(0.681); 甲烷氯化物(0.107); 苯胺硝基苯(0.107); 聚氯乙烯(0.061); 烧碱(0.061); 溴素(0.057); 氧化锌(0.040); 两钠(0.033)
002427.SZ,ST尤夫,220401,涤纶,1.792357,0.792357,涤纶,涤纶工业丝(0.792); 普通工业丝(0.371); 差别化(0.360); 功能性丝(0.360); 特种工业用布(0.251); 普通丝(0.240); 产业用纺织品(0.224); 特种纺织品(0.109)
600309.SH,万华化学,220313,聚氨酯,1.776814,0.776814,异氰酸酯,异氰酸酯(0.777); 聚氨酯系列(0.650); 石化系列(0.298); 精细化学品(0.072); 新材料系列(0.072); 特种化学品系列(0.050); 功能材料系列(0.041); 聚氨酯及助剂(0.001)
600426.SH,华鲁恒升,220205,煤化工,1.770304,0.770304,DMF;尿素;己二酸;醋酸,尿素(0.400); 肥料(0.343); 中间品(0.167); 衍生品(0.164); 有机胺(0.159); DMF(0.135); 醋酸(0.128); 己二酸(0.107)
601233.SH,桐昆股份,750303,其他石化,1.710966,1.710966,DTY;FDY;POY;PTA;涤纶;精对苯二甲酸,涤纶预取向丝(0.574); POY丝(0.509); 涤纶牵伸丝(0.205); FDY丝(0.142); 涤纶加弹丝(0.117); DTY丝(0.107); PTA(0.049); 复合丝(0.017)
002206.SZ,海利得,220401,涤纶,1.683824,0.683824,PVC;涤纶;聚酯,涤纶工业长丝(0.624); 灯箱布(0.210); 灯箱广告材料(0.203); 轮胎帘子布(0.111); 装饰膜(0.065); 装饰材料(0.063); PVC膜(0.052); 石塑地板(0.042)
000683.SZ,远兴能源,220201,纯碱,1.681053,0.681053,小苏打;尿素;甲醇;纯碱,化肥-自产(0.387); 碱业-自产(0.374); 纯碱-自产(0.290); 尿素-自产(0.181); 小苏打-自产(0.106); 甲醇-自产(0.104); 煤炭-自产(0.094); 化学矿开采(0.001)
601216.SH,君正集团,220202,氯碱,1.642362,0.642362,乙烯;聚氯乙烯,化工分部(1.043); 化工部分(1.003); 聚氯乙烯(0.642); 化学原料和化学制品(0.594); 热电分部(0.163); 硅铁(0.158); 片碱(0.139); 热电部分(0.134)
600618.SH,氯碱化工,220202,氯碱,1.637773,0.637773,乙烯;烧碱;聚氯乙烯,聚氯乙烯(0.328); 烧碱(0.310)
603379.SH,三美股份,220311,氟化工,1.586981,0.586981,制冷剂,氟制冷剂(0.587); 氟发泡剂(0.234); 氟化氢(0.130)
600075.SH,新疆天业,220202,氯碱,1.570112,0.570112,乙烯;烧碱;聚氯乙烯,聚氯乙烯树脂(0.491); 节水器材塑料制品(0.129); 建筑安装商品房(0.109); 包装材料(0.085); 烧碱(0.079); 番茄业(0.077); 水泥(0.073); 熟料(0.073)
002136.SZ,安纳达,220206,钛白粉,1.560541,0.560541,钛白粉,含粉料(0.850); 金红石型钛白粉(0.557); 磷酸铁(0.011); 化纤级锐钛型钛白粉(0.004); 金红石粉料(0.002)
